City,Country,Max Temp,Description,Lat,Lon,Hotel Name
lorengau,PG,80.44,moderate rain,-2.0226,147.2712,Seeadler Bay Hotel
hermanus,ZA,80.8,clear sky,-34.4187,19.2345,Aloe guest house
rikitea,PF,76.32,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
humaita,BR,72.27,overcast clouds,-7.5061,-63.0208,Humaita Quality Hotel
kapaa,US,71.58,clear sky,22.0752,-159.319,Pono Kai Resort
cabo san lucas,MX,69.51,overcast clouds,22.8909,-109.9124,Comfort Rooms
puerto ayora,EC,71.55,scattered clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
puerto leguizamo,CO,70.12,overcast clouds,-0.1934,-74.7819,Hotel Girasoles
mana,GF,76.48,overcast clouds,5.6592,-53.7767,Le Samana
bredasdorp,ZA,77.74,clear sky,-34.5322,20.0403,Victoria Hotel
bulawayo,ZW,75.22,overcast clouds,-20.15,28.5833,Selboune Hotel
atuona,PF,78.22,light rain,-9.8,-139.0333,Pearl Resort
salinopolis,BR,80.56,scattered clouds,-0.6136,-47.3561,Hotel Salinópolis
nabire,ID,76.93,overcast clouds,-3.3667,135.4833,Hotel Anggrek
yulara,AU,91.45,overcast clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
mbandaka,CD,86.52,overcast clouds,0.0487,18.2603,Hôtel Epervier
vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti International Resort
jaciara,BR,76.08,broken clouds,-15.9653,-54.9683,Pousada Rosa dos Ventos
grahamstown,ZA,66.96,scattered clouds,-33.3042,26.5328,Colonel Graham Guest House
gemena,CD,95.65,scattered clouds,3.25,19.7667,La Joie
praia,CV,76.75,clear sky,14.9215,-23.5087,Casa Sodadi
port hedland,AU,80.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
cape town,ZA,89.11,clear sky,-33.9258,18.4232,Townhouse Hotel
hilo,US,72.1,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
saint-philippe,RE,83.79,overcast clouds,-21.3585,55.7679,Le Baril
chuy,UY,72.09,clear sky,-33.6971,-53.4616,Alerces
hukuntsi,BW,92.97,clear sky,-24.0,21.75,Entabeni Hotel
ciudad bolivar,VE,72.75,overcast clouds,8.1222,-63.5497,Paoca
bengkulu,ID,79.68,light rain,-3.8004,102.2655,Dena Hotel
kavieng,PG,81.82,light rain,-2.5744,150.7967,Kavieng Hotel
saint-pierre,RE,83.88,scattered clouds,-21.3393,55.4781,Tropic Hotel
