City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
busselton,-33.65,115.3333,73.33,52,97,17.18,AU,overcast clouds
punta arenas,-53.15,-70.9167,50.11,87,75,8.05,CL,broken clouds
lorengau,-2.0226,147.2712,80.44,82,96,5.84,PG,moderate rain
zemio,5.0314,25.1361,97.52,21,9,3.44,CF,clear sky
hermanus,-34.4187,19.2345,80.8,43,6,11.59,ZA,clear sky
rikitea,-23.1203,-134.9692,76.32,85,93,17.34,PF,overcast clouds
humaita,-7.5061,-63.0208,72.27,99,100,1.81,BR,overcast clouds
kapaa,22.0752,-159.319,71.58,89,5,7.16,US,clear sky
cabo san lucas,22.8909,-109.9124,69.51,77,89,5.66,MX,overcast clouds
fortuna,40.5982,-124.1573,51.93,96,100,5.99,US,overcast clouds
puerto ayora,-0.7393,-90.3518,71.55,96,45,1.99,EC,scattered clouds
puerto leguizamo,-0.1934,-74.7819,70.12,87,95,1.88,CO,overcast clouds
mana,5.6592,-53.7767,76.48,87,96,9.44,GF,overcast clouds
sitka,57.0531,-135.33,15.75,75,17,5.79,US,few clouds
omsukchan,62.5333,155.8,13.71,73,60,9.24,RU,broken clouds
thompson,55.7435,-97.8558,-3.39,85,100,9.91,CA,overcast clouds
peniche,39.3558,-9.3811,64.56,89,97,13.82,PT,overcast clouds
castro,-24.7911,-50.0119,59.95,87,78,7.78,BR,broken clouds
muros,42.7762,-9.0603,59.85,90,100,20.11,ES,overcast clouds
dikson,73.5069,80.5464,-15.74,93,59,8.19,RU,broken clouds
barrow,71.2906,-156.7887,-15.5,99,86,3.11,US,overcast clouds
asau,46.4333,26.4,31.12,28,39,3.4,RO,scattered clouds
mataura,-46.1927,168.8643,48.63,95,48,3.85,NZ,scattered clouds
bredasdorp,-34.5322,20.0403,77.74,40,8,18.92,ZA,clear sky
bulawayo,-20.15,28.5833,75.22,58,98,11.99,ZW,overcast clouds
albany,42.6001,-73.9662,18.45,91,44,2.33,US,scattered clouds
butaritari,3.0707,172.7902,81.7,80,43,17.07,KI,scattered clouds
clyde river,70.4692,-68.5914,-3.77,77,100,11.5,CA,light snow
makat,47.6469,53.3463,32.47,53,97,15.5,KZ,overcast clouds
indianola,41.3581,-93.5574,5.49,67,100,5.21,US,overcast clouds
san joaquin,37.9333,-121.3011,39.96,91,0,5.75,US,mist
atuona,-9.8,-139.0333,78.22,82,25,21.0,PF,light rain
hobyo,5.3505,48.5268,82.53,65,25,21.3,SO,scattered clouds
salinopolis,-0.6136,-47.3561,80.56,80,47,7.7,BR,scattered clouds
beringovskiy,63.05,179.3167,27.99,69,6,32.44,RU,clear sky
la ronge,55.1001,-105.2842,-18.15,76,40,6.91,CA,scattered clouds
port alfred,-33.5906,26.891,73.18,62,40,5.01,ZA,scattered clouds
esperance,-33.8667,121.9,63.57,80,35,16.15,AU,scattered clouds
